date,num_hosp,num_icu_hosp,num_admits_hosp,num_deaths_from_hosp,num_deaths_from_home
12/18/20,332,92,53,5,1
12/19/20,323,90,47,6,6
12/20/20,316,84,32,6,3
12/21/20,333,84,56,3,2
12/22/20,349,90,70,0,5
12/23/20,373,94,77,1,9
12/24/20,361,95,50,1,5
12/25/20,363,106,62,3,2
12/26/20,372,119,52,2,4
12/27/20,404,136,67,3,3
12/28/20,422,132,68,7,0
12/29/20,434,138,68,6,11
12/30/20,434,140,79,5,9
12/31/20,448,138,81,6,4
1/1/21,441,131,70,8,4
1/2/21,453,141,71,3,13
1/3/21,484,151,83,4,13
1/4/21,522,156,84,2,8
1/5/21,574,161,115,6,8
1/6/21,569,162,89,6,7
1/7/21,573,164,89,5,7
1/8/21,575,157,89,13,6
1/9/21,586,180,107,10,3
1/10/21,572,180,66,8,10
1/11/21,564,180,54,4,13
1/12/21,601,190,117,8,8
1/13/21,607,185,77,7,9
1/14/21,601,186,103,10,6
1/15/21,608,189,91,10,0
1/16/21,607,182,89,14,6
1/17/21,591,176,63,6,10
1/18/21,602,176,78,8,7
1/19/21,619,183,114,5,10
1/20/21,604,181,67,6,8
1/21/21,589,167,85,8,7
1/22/21,587,169,82,8,9
1/23/21,553,164,74,7,9
1/24/21,574,167,80,15,6
1/25/21,577,157,68,7,4
1/26/21,572,162,84,6,8
1/27/21,551,163,87,8,5
1/28/21,556,153,88,6,5
1/29/21,539,155,54,7,7
1/30/21,512,162,65,7,4
1/31/21,506,153,60,6,4
2/1/21,502,151,41,7,8
2/2/21,496,147,66,4,4
2/3/21,491,148,64,9,6
2/4/21,476,144,65,8,13
2/5/21,475,136,60,3,3
2/6/21,444,137,46,6,2
2/7/21,438,132,42,3,2
2/8/21,438,133,44,7,1
2/9/21,416,132,52,2,2
2/10/21,403,130,43,9,7
2/11/21,376,116,50,7,4
2/12/21,364,111,49,2,2
2/13/21,356,109,45,4,6
2/14/21,356,110,35,4,3
2/15/21,356,109,16,1,3
2/16/21,358,112,18,2,3
2/17/21,375,111,33,4,6
2/18/21,384,114,38,3,4
2/19/21,362,115,32,4,3
2/20/21,348,114,40,8,6
2/21/21,332,111,35,4,1
2/22/21,330,104,34,5,4
2/23/21,311,102,36,7,0
2/24/21,296,112,35,1,0
2/25/21,277,98,35,3,2
2/26/21,290,101,41,2,8
2/27/21,268,84,25,4,3
2/28/21,252,80,19,3,0
3/1/21,240,76,15,6,0
3/2/21,233,73,30,0,3
3/3/21,234,74,32,1,4
3/4/21,227,69,26,3,0
3/5/21,225,68,35,1,3
3/6/21,214,71,26,0,3
3/7/21,217,73,25,2,0
3/8/21,220,72,31,1,3
3/9/21,212,72,24,0,1
3/10/21,209,71,21,2,4
3/11/21,194,68,17,2,3
3/12/21,189,69,22,2,1
3/13/21,170,65,21,1,2
3/14/21,172,63,18,0,1
3/15/21,174,61,16,0,4
3/16/21,165,61,17,0,4
3/17/21,171,62,34,2,1
3/18/21,169,57,26,1,0
3/19/21,162,55,18,1,1
3/20/21,150,57,23,1,4
3/21/21,142,55,17,1,1
3/22/21,143,59,19,2,1
3/23/21,146,62,20,1,1
3/24/21,150,59,31,2,0
3/25/21,152,57,20,2,0
3/26/21,144,54,12,5,0
3/27/21,138,57,15,1,0
3/28/21,140,55,15,2,0
3/29/21,141,57,19,1,1
3/30/21,133,46,15,0,2
3/31/21,138,52,26,2,0
4/1/21,133,54,13,2,2
4/2/21,131,56,24,2,0
4/3/21,130,59,26,2,0
4/4/21,126,51,10,3,0
4/5/21,134,49,17,1,0
4/6/21,128,47,19,0,1
4/7/21,132,51,23,2,2
4/8/21,131,47,20,1,0
4/9/21,123,48,10,4,0
4/10/21,119,43,20,0,0
4/11/21,122,43,18,1,0
4/12/21,126,41,18,1,0
4/13/21,123,38,11,0,0
4/14/21,127,36,25,0,1
4/15/21,121,38,16,1,0
4/16/21,130,41,37,1,1
4/17/21,137,40,30,1,1
4/18/21,138,40,20,3,0
4/19/21,136,42,12,1,0
4/20/21,129,39,18,0,1
4/21/21,143,40,25,0,0
4/22/21,138,34,15,0,2
4/23/21,136,39,25,0,2
4/24/21,129,39,20,2,0
4/25/21,120,40,7,1,2
4/26/21,130,46,24,0,0
4/27/21,123,48,12,0,1
4/28/21,129,47,27,1,1
4/29/21,127,47,19,0,3
4/30/21,125,46,23,2,3
